CONTAINER 1
Total Cartons: 121
Total G.W.: 2173.58 KGS
Total N.W.: 1925.87 KGS
Total CBM: 6.16 M³

MARKS&NO,DESCRIPTION,CTN,PCS/CTN,UNIT,T/QTY,G.W.(KGS),N.W.(KGS),CBM
"1-35","礼拜毯 70*110",2,300,PCS,600,120.00,108.00,0.36
"1-34","礼拜毯 80*120",1,50,PCS,50,52.00,46.80,0.18
"1-83","老巴黎 香精油蒸馏水",1,96,PCS,96,46.20,41.58,0.08
"1-87","红挚爱 香精油蒸馏水",1,96,PCS,96,44.00,39.60,0.07
"1-80","金字蔚蓝 香精油蒸馏水",1,96,PCS,96,42.00,37.80,0.06
"1-81","新粉六角 香精油蒸馏水",1,96,PCS,96,42.00,37.80,0.08
"1-82","磨砂白 香精油蒸馏水",1,96,PCS,96,42.00,37.80,0.05
"1-75","狂野 香精油蒸馏水",1,96,PCS,96,41.00,36.90,0.07
"1-76","自由浓情版 香精油蒸馏水",1,96,PCS,96,41.00,36.90,0.06
"1-84","缪斯真我 香精油蒸馏水",1,96,PCS,96,41.00,36.90,0.12
"1-78","我的方式 香精油蒸馏水",1,96,PCS,96,39.40,35.46,0.07
"1-94","劳保手套 乳胶 60g",1,600,PCS,600,38.00,34.20,0.09
"1-77","范思哲爱神 香精油蒸馏水",1,96,PCS,96,36.70,33.03,0.06
"1-1","手柄管夹10*16mm",1,5000,PCS,5000,33.80,0.00,0.07
"1-52","水果刀",5,360,PCS,1800,165.00,148.50,0.19
"1-19","水果刀 钢 木头 大",1,600,PCS,600,31.75,28.57,0.07
"1-54","打火枪 塑料铁",1,100,PCS,100,31.30,28.17,0.15
"1-16","吹风机",1,30,PCS,30,29.70,26.73,0.13
"1-31","药膏",1,640,PCS,640,28.60,25.74,0.12
"1-8","1-8",1,15,PCS,15,27.60,24.84,0.04
"1-20","水果刀 钢 木头 中",1,600,PCS,600,27.40,24.66,0.07
"1-71","65mm 锁芯 铜锁芯",1,60,PCS,60,27.00,24.30,0.03
"1-106","锁芯 铁 60mm",1,120,PCS,120,25.20,22.68,0.04
"1-22","F 29A 阀 铜",1,120,PCS,120,23.60,21.24,0.04
"1-48","电池 VARTA2B 碳性电池",1,120,PCS,120,22.50,20.25,0.03
"1-113","铜 75g",1,400,PCS,400,22.40,20.16,0.02
"1-114","锌合金 45g",1,400,PCS,400,22.40,20.16,0.02
"1-29","电池 D2B 碳性电池",1,120,PCS,120,22.20,19.98,0.04
"1-30","电池 AA4B 碱性电池",1,240,PCS,240,22.20,19.98,0.03
"1-90","劳保手套 乳胶 35g",1,600,PCS,600,22.10,19.89,0.15
"1-46","激光灯",1,1200,PCS,1200,22.00,19.80,0.08
"1-108","阀门 铜",1,100,PCS,100,22.00,19.80,0.03
"1-21","水果刀 钢 木头 小",1,600,PCS,600,21.85,19.67,0.04
"1-3","1-3",1,500,PCS,500,21.80,19.62,0.02
"1-24","F",2,120,PCS,240,43.20,38.88,0.08
"1-32","计算器 塑料",1,120,PCS,120,21.20,19.08,0.08
"1-9","电池 TOPLY/D 碳性",1,120,PCS,120,21.00,18.90,0.03
"1-11","剃毛器",3,100,PCS,300,63.00,56.70,0.39
"1-104","蟑螂药 20g",1,500,PCS,500,21.00,18.90,0.09
"1-101","水嘴 铜",2,100,PCS,200,41.00,36.90,0.08
"1-102","水嘴 铜 银色",1,120,PCS,120,20.50,18.45,0.04
"1-2","水管 铁管 50cm color",1,50,PCS,50,20.00,18.00,0.03
"1-64","断路器 50A 铁塑料",1,240,PCS,240,20.00,18.00,0.04
"1-65","断路器 32A 铁塑料",1,240,PCS,240,20.00,18.00,0.04
"1-66","断路器 20A 铁塑料",1,240,PCS,240,20.00,18.00,0.04
"1-105","蟑螂药 35g",1,240,PCS,240,20.00,18.00,0.08
"1-93","铜水嘴 /188g 铜",1,100,PCS,100,19.40,17.46,0.02
"1-17","夹板",1,100,PCS,100,18.50,16.65,0.10
"1-18","药贴 塑料",1,1728,PCS,1728,18.00,16.20,0.05
"1-100","蟑螂药 塑料",1,2000,PCS,2000,18.00,16.20,0.07
"1-88","摩托车内胎 丁基胶",1,50,PCS,50,17.80,16.02,0.03
"1-89","自行车内胎 丁基胶",1,100,PCS,100,17.80,16.02,0.03
"1-41","加密电镀管 1.5m 铜芯钢冒加密",1,100,PCS,100,17.30,15.57,0.06
"1-112","铜 76g",1,300,PCS,300,17.00,15.30,0.02
"1-91","劳保手套 乳胶 70g",1,480,PCS,480,16.80,15.12,0.09
"1-92","劳保手套 乳胶 65/70g",1,600,PCS,600,16.80,15.12,0.09
"1-70","电热棒 袋装铜",1,50,PCS,50,16.60,14.94,0.06
"1-7","carex/ 避孕套 乳胶",1,1152,PCS,1152,16.00,14.40,0.12
"1-36","一字入墙龙头 5/ 盒 料手柄 ， 铜芯",1,60,PCS,60,15.50,13.95,0.06
"1-107","阀帽 塑料",1,300,PCS,300,15.30,13.77,0.01
"1-69","铜水嘴 铜 134g",1,100,PCS,100,15.00,13.50,0.03
"1-115","蚊香",3,120,PCS,360,45.00,40.50,0.15
"1-5","1-5",1,40,PCS,40,14.80,13.32,0.04
"1-40","加密电镀管 1.2m 铜芯钢冒加密",1,100,PCS,100,14.80,13.32,0.05
"1-28","婴儿安抚玩嘴 塑料",1,960,PCS,960,14.60,13.14,0.15
"1-6","野营炉 塑料",1,24,PCS,24,13.70,12.33,0.11
"1-39","十字手轮小面盆 6/ 盆 塑料手柄",1,72,PCS,72,13.70,12.33,0.05
"1-72","化妆包",3,1,PCS,3,39.00,35.10,0.18
"1-55","熔蜡器 塑料铁",1,50,PCS,50,12.60,11.34,0.10
"1-60","手电筒",1,120,PCS,120,12.60,11.34,0.06
"1-4","1-4",1,40,PCS,40,11.70,10.53,0.03
"1-56","融蜡锅 塑料铁",1,24,PCS,24,11.20,10.08,0.12
"1-95","老鼠贴 塑料",1,100,PCS,100,10.70,9.63,0.03
"1-58","美甲灯 塑料铁",1,24,PCS,24,9.40,8.46,0.13
"1-59","小手电 塑料",1,200,PCS,200,9.40,8.46,0.07
"1-57","炫彩剃毛器 塑料铁",1,100,PCS,100,8.50,7.65,0.06
"1-44","蟑螂药",2,2000,PCS,4000,16.00,14.40,0.08
"1-45","蟑螂凝胶诱饵",1,100,PCS,100,8.00,7.20,0.04
"1-79","红",5,1,PCS,5,40.00,36.00,0.05
"1-67","1-67",3,1,PCS,3,18.99,17.10,0.01
"1-68","1-68",3,1,PCS,3,18.00,16.20,0.01
"1-42","1-42",5,1,PCS,5,24.00,21.60,0.04
"1-43","1-43",5,1,PCS,5,24.00,21.60,0.04
"1-38","A",8,1,PCS,8,14.08,12.72,0.03

